                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5696,                 6.3053,                 4.0696,                0.29814,                0.26061,                0.21416,                0.05958,                 3.0136,                 4.3384,                 3.3217,              0.0033204,              0.0033204,              0.0033204
                      2,                 2.5934,                 3.4979,                 2.7172,                0.59267,                0.59233,                0.61598,                0.29092,                 2.0704,                 2.0229,                 2.2055,              0.0066208,              0.0066208,              0.0066208
                      3,                 1.9857,                 2.2002,                 2.0642,                0.63103,                0.62178,                0.65556,                0.38833,                  1.702,                 1.6401,                 1.8318,              0.0098882,              0.0098882,              0.0098882
                      4,                 1.6486,                 1.6109,                 1.7561,                0.78507,                0.70994,                0.78035,                0.53122,                 1.3755,                 1.1814,                   1.55,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4648,                 1.3824,                 1.6004,                0.84738,                0.75044,                0.82815,                0.59037,                 1.2058,                 1.0754,                 1.4088,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3454,                 1.2529,                 1.5087,                0.84943,                0.76749,                0.84133,                0.62328,                 1.1115,                0.91937,                  1.348,               0.009802,               0.009802,               0.009802
                      7,                  1.281,                 1.1978,                  1.461,                0.86917,                0.77388,                0.85387,                0.64605,                 1.0594,                 0.8669,                 1.2833,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2302,                 1.1332,                 1.4224,                0.87184,                0.80508,                0.87502,                0.67067,                 1.0052,                0.80249,                 1.2548,               0.009703,               0.009703,               0.009703
                      9,                 1.1868,                 1.0928,                 1.3919,                0.84873,                 0.7888,                0.85282,                0.65363,                 1.0222,                0.82717,                 1.2643,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1584,                 1.0504,                 1.3657,                0.85501,                0.80442,                0.86838,                0.67858,                0.95601,                0.76101,                 1.2263,               0.009604,               0.009604,               0.009604
                     11,                 1.1338,                 1.0331,                 1.3493,                0.90449,                0.81108,                0.89099,                0.70815,                0.92004,                0.71448,                 1.1933,              0.0095545,              0.0095545,              0.0095545
